dataTagId,description,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,measureUnit,tagType,group,limRangeLo,limRangeHi,limHi,limHiHi,limLo,limLoLo
7HLD01CT103_XQ03,APH-A COLD END TMP1,boiler,PCFB,Air   preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temp,1,DegC,,,0,500,375,450,125,50
7HLD01CT104_XQ03,APH-A COLD END TMP2,Boiler,PCFB,Air  Preheater   ,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,2,Deg,,,0,500,375,450,125,50
7HLD01CT105_XQ03,APH-A COLD END TMP3,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,3,DegC,,,0,500,375,450,125,50
7HLD01CT106_XQ03,APH-A COLD END TMP4,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,4,DegC,,,0,500,375,450,125,50
7HLD01CT107_XQ03,APH-A COLD END TMP5,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,5,DegC,,,0,500,375,450,125,50
7HLD01CT108_XQ03,APH-A COLD END TMP6,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,6,DegC,,,0,500,375,450,125,50
7HLD01CT109_XQ03,APH-A COLD END TMP7,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,7,DegC,,,0,500,375,450,125,50
7HLD01CT110_XQ03,APH-A COLD END TMP8,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,8,DegC,,,0,500,375,450,125,50
7HLD01CT111_XQ03,APH-A COLD END TMP9,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,9,DegC,,,0,500,375,450,125,50
7HLD01CT112_XQ03,APH-A COLD END TMP10,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Cold End,Temperature,10,DegC,,,0,500,375,450,125,50
7HLD01CT113_XQ03,APH-A HOT END TMP1,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,1,DegC,,,0,500,375,450,125,50
7HLD01CT114_XQ03,APH-A HOT END TMP2,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,2,DegC,,,0,500,375,450,125,50
7HLD01CT115_XQ03,APH-A HOT END TMP3,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,3,DegC,,,0,500,375,450,125,50
7HLD01CT116_XQ03,APH-A HOT END TMP4,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,4,DegC,,,0,500,375,450,125,50
7HLD01CT117_XQ03,APH-A HOT END TMP5,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,5,DegC,,,0,500,375,450,125,50
7HLD01CT118_XQ03,APH-A HOT END TMP6,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,6,DegC,,,0,500,375,450,125,50
7HLD01CT119_XQ03,APH-A HOT END TMP7,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,7,DegC,,,0,500,375,450,125,50
7HLD01CT120_XQ03,APH-A HOT END TMP8,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,8,DegC,,,0,500,375,450,125,50
7HLD01CT121_XQ03,APH-A HOT END TMP9,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,9,DegC,,,0,500,375,450,125,50
7HLD01CT122_XQ03,APH-A HOT END TMP10,Boiler,PCFB,Air Preheater,,AH-A,1,???,???,1,,,,,,,Hot End,Temperature,10,DegC,,,0,500,375,450,125,50
7HFE30CP101_XQ01,AH-A PA I/L PR,Boiler,PCFB,Air Preheater,,AH-A,1,Air path,Air Path,1,,,,Inlet,Inlet,1,Primary Air,Pressure,1,mmwc,,,0,1100,825,990,275,110
