,Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%),invalid
0,30,New,TIA07221,BFP A MOTOR HOT AIR TMP,HOT AIR TEMPERATURE AT BFP MOTOR,BFP System,BFP System,BFP,-,BFP A,1,Gas Cooler,Gas Cooler,1,-,-,-,Inlet,Inlet,1,Air,Temperature,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,
1,36,New,TIZA07212,BFP A MOTOR COLD AIR TMP,COLD AIR TEMPERATURE AT BFP MOTOR,BFP System,BFP System,BFP,-,BFP A,1,Gas Cooler,Gas Cooler,1,-,-,-,Outlet,Outlet,1,Air,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
2,28,-,TIA07207,BFP A MOTOR DE BEARING TEMPERATURE,BFP MOTOR DE BEARING TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
3,29,-,TIA07208,BFP A MOTOR NDE BEARING TEMPERATURE,BFP MOTOR NDE BEARING TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
4,33,-,TIZA07209,BFP A MOTOR WINDING TEMPERATURE,BFP MOTOR WINDING TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
5,34,-,TIZA07210,BFP A MOTOR WINDING TEMPERATURE,BFP MOTOR WINDING TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Metal,Temperature,2,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
6,35,-,TIZA07211,BFP A MOTOR WINDING TEMPERATURE,BFP MOTOR WINDING TEMPERATURE,BFP System,BFP System,BFP,-,BFP A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Metal,Temperature,3,-,DEG C,-,-,Low,0,300,-,Mechanical,-,-,
7,26,-,EIZA_07902,BFP A CURRENT,BFP CURRENT,BFP System,BFP System,BFP,-,BFP A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,Low,0,250,-,Performance KPI,-,-,
8,37,New,PISZA07117,BFP A LUBE OL PRES AFTER COOLER,BFP LUBE OIL PRESSURE AFTER COOLER,BFP System,BFP System,BFP,-,BFP A,1,Oil Supply System,Oil Supply System,1,Lubrication Oil Cooler,Lubrication Oil Cooler,1,Outlet,Outlet,1,Lubrication Oil,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Mechanical,-,-,
9,38,New,PI07108,BFP A LUBE OL PRES AFTER FILTER,BFP LUBE OIL PRESSURE AFTER FILTER,BFP System,BFP System,BFP,-,BFP A,1,Oil Supply System,Oil Supply System,1,Lubrication Oil Filter,Lubrication Oil Filter,1,Outlet,Outlet,1,Lubrication Oil,Pressure,1,-,KG/CM2,-,-,Low,-,-,-,Mechanical,-,-,
10,31,New,TIA7201,BFP A SUCTION SIE BEARING TMP,BEARING TEMPERATURE AT BFP SUCTION SIDE,BFP System,BFP System,BFP,-,BFP A,1,Main Pump,Pump,1,Bearing,Pump Bearing - Suction,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,
